Kanji
此
柴
砦
些
髭
禽
檎
憐
燐
麟
鱗
奄
庵
掩
悛
駿
峻
竣
舅
鼠
鑿
艘
犀
皐
畷
綴
爾
鎧
凱
呑
韮
籤
懺
芻
雛
趨
尤
厖
或
兎
也
尭
巴
甫
疋
菫
曼
云
卜
喬
莫
倭
侠
倦
佼
俄
佃
伶
仔
仇
伽
僻
儲
倖
僑
侃
倶
侭
佑
俣
傭
偲
脩
倅
做
冴
凋
凌
凛
凧
凪
夙
鳳
劉
剃
厭
雁
贋
厨
仄
哨
咎
囁
喋
嘩
噂
咳
喧
叩
嘘
啄
吠
吊
噛
叶
吻
吃
噺
噌
邑
呆
喰
埴
坤
壕
垢
坦
埠
堰
堵
嬰
姦
婢
婉
娼
妓
娃
姪
嬬
姥
姑
姐
嬉
孕
孜
宥
寓
宏
牢
宋
宍
屠
屁
屑
屡
屍
屏
嵩
崚
峨
嶺
嵌
嵯
帖
幡
幟
庖
廓
庇
鷹
庄
廟
彊
弛
粥
挽
撞
扮
掠
掴
捺
掻
撰
揃
捌
撹
摺
按
播
揖
托
捧
撚
挺
擾
撫
撒
擢
捷
抉
怯
惟
惚
怜
惇
恰
恢
悌
澪
洸
滉
漱
洲
洵
滲
洒
沐
泪
渾
涜
梁
澱
洛
汝
漉
瀕
濠
溌
湊
淋
浩
汀
鴻
潅
溢
湛
淳
渥
灘
汲
瀞
溜
渕
沌
濾
濡
淀
涅
斧
爺
猾
猥
狡
狸
狼
狽
狗
狐
狛
獅
狒
莨
茉
莉
苺
萩
藝
薙
蓑
苔
蕩
蔓
蓮
芙
蓉
蘭
芦
薯
菖
蕉
蕎
蕗
茄
蔭
蓬
芥
萌
葡
萄
蘇
蕃
苓
菰
蒙
茅
芭
苅
葱
葵
葺
蕊
茸
蒔
芹
苫
蒼
藁
蕪
藷
薮
蒜
蕨
蔚
茜
莞
蒐
菅
葦
迪
辿
這
迂
遁
逢
遥
遼
逼
迄
逗
郁
鄭
隈
憑
惹
悉
忽
惣
愈
恕
昴
晋
晟
暈
暉
旱
晏
晨
晒
晃
曝
曙
昂
昏
晦
膿
腑
胱
胚
肛
脆
肋
腔
肱
胡
楓
楊
椋
榛
櫛
槌
樵
梯
柑
杭
柊
柚
椀
栂
柾
榊
樫
槙
楢
橘
桧
棲
栖
桔
杜
杷
梶
杵
杖
樽
櫓
橿
杓
李
棉
楯
榎
樺
槍
柘
梱
枇
樋
橇
槃
栞
椰
檀
樗
槻
椙
彬
桶
楕
樒
毬
燿
燎
炬
焚
灸
燭
煽
煤
煉
燦
灼
烙
焔
熔
烹
牽
牝
牡
瑶
琳
琉
瑳
琢
珊
瑚
瑞
珪
玖
瑛
玲
畢
畦
痒
痰
疹
痔
癌
痺
眸
眩
雉
矩
磐
碇
碧
硯
砥
碗
碍
碩
磯
砺
碓
禦
祷
祐
祇
祢
禄
禎
秤
黍
禿
稔
稗
穣
稜
稀
穆
窺
窄
穿
竃
竪
颯
站
靖
妾
衿
袷
袴
襖
笙
筏
簾
箪
竿
箆
箔
笥
箭
筑
篠
纂
竺
箕
笈
篇
筈
簸
粕
糟
糊
籾
糠
糞
粟
繋
綸
絨
絆
緋
綜
紐
紘
纏
絢
繍
紬
綺
綾
絃
縞
綬
紗
舵
聯
聡
聘
耽
耶
蚤
蟹
蛋
蟄
蝿
蟻
蝋
蝦
蛸
螺
蝉
蛙
蛾
蛤
蛭
蛎
罫
袈
裟
截
哉
詢
諄
讐
諌
諒
讃
訊
訣
詑
誼
謬
詫
諏
諺
誹
謂
諜
註
譬
轟
輔
輻
輯
豹
賎
貰
賑
躓
蹄
蹟
跨
跪
醤
醍
醐
醇
麹
釦
銚
鋤
鏑
鋸
錐
鍬
鋲
錫
錨
釘
鑓
鋒
鎚
鉦
錆
鍾
鋏
閃
悶
閤
雫
霞
翰
斡
鞍
鞭
鞘
鞄
靭
鞠
顛
穎
頗
頌
頚
餐
饗
蝕
飴
駕
騨
馳
騙
馴
駁
駈
驢
鰻
鯛
鰯
鱒
鮭
鮪
鮎
鯵
鱈
鯖
鮫
鰹
鰍
鰐
鮒
鮨
鰭
鴎
鵬
鸚
鵡
鵜
鷺
鷲
鴨
鳶
梟
塵
麒
瞑
暝
坐
朔
曳
洩
彗
慧
嘉
兇
兜
欝
劫
歎
輿
巽
歪
翠
黛
鼎
鹵
鹸
虔
燕
嘗
殆
孟
牌
覗
彪
秦
雀
隼
耀
夷
嚢
暢
廻
欣
毅
斯
匙
匡
肇
麿
叢
肴
斐
卿
翫
於
套
叛
尖
壷
叡
酋
鴬
赫
臥
甥
瓢
琵
琶
叉
舜
畠
圃
丞
亮
胤
疏
膏
魁
馨
牒
瞥
睾
巫
敦
奎
翔
皓
黎
赳
已
棘
聚
甦
剪
躾
夥
鼾
祟
粁
糎
粍
噸
哩
浬
吋
呎
梵
陀
薩
菩
唖
迦
牟
珈
琲
檜
轡
淵
伍
什
萬
邁
逞
燈
裡
薗
鋪
嶋
峯
巌
埜
舘
龍
寵
聾
慾
亙
躯
嶽
國
脛
勁
祀
祓
躇
壽
躊
饅
嘔
鼈
亨
侑
梧
欽
煕
而
掟
籠
