Level	Kanji	KanjiStroke	Meaning	Type	DO NOT CHANGE	Tags
15	法	"<img src=""06cd5.svg"">"	Method, Law	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L4
15	昨	"<img src=""06628.svg"">"	Previous, Yesterday	Kanji Drawing	-	Kanji_Drawing Level_15 Genki_L4
16	園	"<img src=""05712.svg"">"	Garden, Park	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L4
16	曜	"<img src=""066dc.svg"">"	Weekday, Day Of The Week	Kanji Drawing	-	Kanji_Drawing Level_16 Genki_L4
22	誕	"<img src=""08a95.svg"">"	Birth	Kanji Drawing	-	Kanji_Drawing Level_22 Genki_L4
23	停	"<img src=""0505c.svg"">"	Halt	Kanji Drawing	-	Kanji_Drawing Level_23 Genki_L4
24	額	"<img src=""0984d.svg"">"	Amount, Framed Picture, Forehead	Kanji Drawing	-	Kanji_Drawing Level_24 Genki_L4
24	祝	"<img src=""0795d.svg"">"	Celebrate	Kanji Drawing	-	Kanji_Drawing Level_24 Genki_L4
26	再	"<img src=""0518d.svg"">"	Again	Kanji Drawing	-	Kanji_Drawing Level_26 Genki_L4
28	憲	"<img src=""061b2.svg"">"	Constitution	Kanji Drawing	-	Kanji_Drawing Level_28 Genki_L4
30	撮	"<img src=""064ae.svg"">"	Photograph, Photo	Kanji Drawing	-	Kanji_Drawing Level_30 Genki_L4
33	皇	"<img src=""07687.svg"">"	Emperor	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L4
33	敬	"<img src=""0656c.svg"">"	Respect	Kanji Drawing	-	Kanji_Drawing Level_33 Genki_L4
34	勤	"<img src=""052e4.svg"">"	Work	Kanji Drawing	-	Kanji_Drawing Level_34 Genki_L4
37	昭	"<img src=""0662d.svg"">"	Shining	Kanji Drawing	-	Kanji_Drawing Level_37 Genki_L4
40	隣	"<img src=""096a3.svg"">"	Neighbor, Neighbour	Kanji Drawing	-	Kanji_Drawing Level_40 Genki_L4
47	粘	"<img src=""07c98.svg"">"	Sticky	Kanji Drawing	-	Kanji_Drawing Level_47 Genki_L4
11	波	"<img src=""06ce2.svg"">"	Wave	Kanji Drawing	-	Kanji_Drawing Level_11 Genki_L5
12	寒	"<img src=""05bd2.svg"">"	Cold	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L5
12	祭	"<img src=""0796d.svg"">"	Festival	Kanji Drawing	-	Kanji_Drawing Level_12 Genki_L5
