Level	Kanji	KanjiStroke	Meaning	Type	DO NOT CHANGE	Tags
15	紀	"<img src=""07d00.svg"">"	Account, Narrative	Kanji Drawing	-	Kanji_Drawing Level_15
15	軍	"<img src=""08ecd.svg"">"	Army	Kanji Drawing	-	Kanji_Drawing Level_15
15	岩	"<img src=""05ca9.svg"">"	Boulder	Kanji Drawing	-	Kanji_Drawing Level_15
15	築	"<img src=""07bc9.svg"">"	Construct, Build	Kanji Drawing	-	Kanji_Drawing Level_15
15	司	"<img src=""053f8.svg"">"	Director	Kanji Drawing	-	Kanji_Drawing Level_15
15	区	"<img src=""0533a.svg"">"	District, Ward	Kanji Drawing	-	Kanji_Drawing Level_15
15	毒	"<img src=""06bd2.svg"">"	Poison	Kanji Drawing	-	Kanji_Drawing Level_15
15	坂	"<img src=""05742.svg"">"	Slope	Kanji Drawing	-	Kanji_Drawing Level_15
16	箱	"<img src=""07bb1.svg"">"	Box	Kanji Drawing	-	Kanji_Drawing Level_16
16	冒	"<img src=""05192.svg"">"	Dare	Kanji Drawing	-	Kanji_Drawing Level_16
16	存	"<img src=""05b58.svg"">"	Exist, Suppose	Kanji Drawing	-	Kanji_Drawing Level_16
16	門	"<img src=""09580.svg"">"	Gates, Gate	Kanji Drawing	-	Kanji_Drawing Level_16
17	底	"<img src=""05e95.svg"">"	Bottom	Kanji Drawing	-	Kanji_Drawing Level_17
17	因	"<img src=""056e0.svg"">"	Cause	Kanji Drawing	-	Kanji_Drawing Level_17
17	詳	"<img src=""08a73.svg"">"	Detailed	Kanji Drawing	-	Kanji_Drawing Level_17
17	識	"<img src=""08b58.svg"">"	Discerning, Discriminating, Know	Kanji Drawing	-	Kanji_Drawing Level_17
17	干	"<img src=""05e72.svg"">"	Dry	Kanji Drawing	-	Kanji_Drawing Level_17
17	渉	"<img src=""06e09.svg"">"	Ford	Kanji Drawing	-	Kanji_Drawing Level_17
17	署	"<img src=""07f72.svg"">"	Government Office, Political Office, Office	Kanji Drawing	-	Kanji_Drawing Level_17
17	幻	"<img src=""05e7b.svg"">"	Illusion	Kanji Drawing	-	Kanji_Drawing Level_17
17	常	"<img src=""05e38.svg"">"	Normal, Ordinary, Usual	Kanji Drawing	-	Kanji_Drawing Level_17
17	栄	"<img src=""06804.svg"">"	Prosper, Flourish	Kanji Drawing	-	Kanji_Drawing Level_17
17	塩	"<img src=""05869.svg"">"	Salt	Kanji Drawing	-	Kanji_Drawing Level_17
17	兵	"<img src=""05175.svg"">"	Soldier	Kanji Drawing	-	Kanji_Drawing Level_17
17	虚	"<img src=""0865a.svg"">"	Void	Kanji Drawing	-	Kanji_Drawing Level_17
18	弓	"<img src=""05f13.svg"">"	Bow	Kanji Drawing	-	Kanji_Drawing Level_18
18	脳	"<img src=""08133.svg"">"	Brain	Kanji Drawing	-	Kanji_Drawing Level_18
18	飴	"<img src=""098f4.svg"">"	Candy	Kanji Drawing	-	Kanji_Drawing Level_18
18	苛	"<img src=""082db.svg"">"	Frustration	Kanji Drawing	-	Kanji_Drawing Level_18
18	訓	"<img src=""08a13.svg"">"	Instruction	Kanji Drawing	-	Kanji_Drawing Level_18
18	可	"<img src=""053ef.svg"">"	Possible, Passable	Kanji Drawing	-	Kanji_Drawing Level_18
18	僧	"<img src=""050e7.svg"">"	Priest, Monk	Kanji Drawing	-	Kanji_Drawing Level_18
18	汽	"<img src=""06c7d.svg"">"	Steam	Kanji Drawing	-	Kanji_Drawing Level_18
18	叩	"<img src=""053e9.svg"">"	Strike, Beat	Kanji Drawing	-	Kanji_Drawing Level_18
18	禅	"<img src=""07985.svg"">"	Zen, Zen Buddhism	Kanji Drawing	-	Kanji_Drawing Level_18
19	得	"<img src=""05f97.svg"">"	Acquire	Kanji Drawing	-	Kanji_Drawing Level_19
19	閥	"<img src=""095a5.svg"">"	Clique, Clan	Kanji Drawing	-	Kanji_Drawing Level_19
19	減	"<img src=""06e1b.svg"">"	Decrease	Kanji Drawing	-	Kanji_Drawing Level_19
19	易	"<img src=""06613.svg"">"	Easy	Kanji Drawing	-	Kanji_Drawing Level_19
19	笛	"<img src=""07b1b.svg"">"	Flute	Kanji Drawing	-	Kanji_Drawing Level_19
19	昆	"<img src=""06606.svg"">"	Insect	Kanji Drawing	-	Kanji_Drawing Level_19
19	徒	"<img src=""05f92.svg"">"	Junior, Follower	Kanji Drawing	-	Kanji_Drawing Level_19
19	乱	"<img src=""04e71.svg"">"	Riot	Kanji Drawing	-	Kanji_Drawing Level_19
19	舌	"<img src=""0820c.svg"">"	Tongue	Kanji Drawing	-	Kanji_Drawing Level_19
19	暴	"<img src=""066b4.svg"">"	Violence	Kanji Drawing	-	Kanji_Drawing Level_19
20	裕	"<img src=""088d5.svg"">"	Abundant, Plentiful	Kanji Drawing	-	Kanji_Drawing Level_20
20	確	"<img src=""078ba.svg"">"	Certain	Kanji Drawing	-	Kanji_Drawing Level_20
20	械	"<img src=""068b0.svg"">"	Contraption	Kanji Drawing	-	Kanji_Drawing Level_20
20	害	"<img src=""05bb3.svg"">"	Damage, Injury, Harm	Kanji Drawing	-	Kanji_Drawing Level_20
20	災	"<img src=""0707d.svg"">"	Disaster	Kanji Drawing	-	Kanji_Drawing Level_20
20	在	"<img src=""05728.svg"">"	Exist	Kanji Drawing	-	Kanji_Drawing Level_20
20	穴	"<img src=""07a74.svg"">"	Hole, Cave	Kanji Drawing	-	Kanji_Drawing Level_20
